schema_version,study_id,scenario_id,input_sample_id,replication_id,study_cell_id,layout_id,traveller_count,security_observation_span_seconds,immigration_observation_span_seconds,total_stage_observation_span_seconds,total_queue_wait_p95_seconds,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,peak_security_lane_waiting_queue,peak_immigration_lane_waiting_queue,security_fragmentation_seconds,immigration_fragmentation_seconds,total_fragmentation_seconds,security_fragmentation_fraction,immigration_fragmentation_fraction,total_fragmentation_fraction,immutable_input_sha256,pooled_replay_status,crn_status
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,17,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,429,329.55731523099996,320.739133413,650.296448644,13.459106255999998,12,9,15,1,1,78.41835461800004,150.024203838,228.44255845600003,0.23795058095746854,0.46774524281332774,0.3512898754596448,f1ac0cecb9da7988461b07f5d4ec62eba326266d2999b10085a2c4b5f53c72d5,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,18,REFERENCE_SCALE,POOLED_FCFS,419,320.43977209799993,311.62159027999996,632.0613623779999,4.213769509000031,7,6,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3714bdc9e51b458fc379e9ce952f59d5a177039e1c0bbfc0344309ec88c2fc02,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,18,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,419,320.43977209799993,319.745662402,640.1854344999999,12.936032920000002,7,7,10,1,1,91.65164893999997,130.33683513100007,221.98848407100004,0.28601833143224864,0.4076265934364238,0.34675653663438677,3714bdc9e51b458fc379e9ce952f59d5a177039e1c0bbfc0344309ec88c2fc02,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,19,REFERENCE_SCALE,POOLED_FCFS,445,323.2086438129999,314.757744488,637.9663883009999,2.4310207450000405,5,6,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,83bae9f47c504abf6516e47deeb216c36f8f036c8a5f4e7dc720c48032d2bb14,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,19,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,445,335.205920424,326.387738606,661.59365903,12.474306307999996,6,8,11,1,1,137.06841085899995,144.80555484999968,281.87396570899966,0.408908084575663,0.4436611358884476,0.4260530037761714,83bae9f47c504abf6516e47deeb216c36f8f036c8a5f4e7dc720c48032d2bb14,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,20,REFERENCE_SCALE,POOLED_FCFS,418,320.073457488,311.25527566999995,631.328733158,3.101551373999996,6,6,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1b53287edf46985db99431f502e1f8e2cfc9c51260bed11fb396f8d4a5990f40,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,20,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,418,320.073457488,316.023902131,636.0973596189999,12.401170894000018,7,7,11,1,1,84.93494360300022,125.13476376899992,210.06970737200015,0.26536078395749063,0.3959661371345524,0.3302477273256166,1b53287edf46985db99431f502e1f8e2cfc9c51260bed11fb396f8d4a5990f40,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,21,REFERENCE_SCALE,POOLED_FCFS,417,322.808045639,314.15215648300006,636.960202122,5.966949004000043,12,8,13,1,1,0.0,0.0,0.0,0.0,0.0,0.0,c88aa4ad6d5d34ce7d5fb287c6fa2a21245c9648e99758ffd6dd1b86eddf3ef4,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,21,REFERENCE_SCALE,SEPARATE_JSQ_NO_JOCKEYING,417,340.0337859769999,331.21560415899995,671.2493901359999,14.621136594999967,12,9,15,1,1,92.10121475500007,111.84970344200022,203.9509181970003,0.27085901034913584,0.33769454710928054,0.3038377705723925,c88aa4ad6d5d34ce7d5fb287c6fa2a21245c9648e99758ffd6dd1b86eddf3ef4,PASS,PASS
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,22,REFERENCE_SCALE,POOLED_FCFS,410,320.65507977699997,311.836897959,632.491977736,3.2657125750000233,7,8,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,97ecc05fb9cb9173f4d858ae2fc6754b891beb5875418ec9d7757f77ed4f2b7d,PASS,PASS
