schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-1.24344978758e-16,8.80395415359e-16,1.24506713665e-16,49,0.95,-3.74550587396e-16,1.2586062988e-16,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.308028706021,0.999262824323,0.141317103853,49,0.95,0.0240413535345,0.592016058507,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.308028706021,0.999262824323,0.141317103853,49,0.95,0.0240413535345,0.592016058507,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,20.3856978009,4.3062925855,0.609001737796,49,0.95,19.1618629893,21.6095326125,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,47.8521022564,12.1410801819,1.71700802551,49,0.95,44.4016454464,51.3025590664,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,98.2130585725,45.4608064186,6.42912889936,49,0.95,85.29324034,111.132876805,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.34,5.355180593,0.757336902358,49,0.95,-0.181925485143,2.86192548514,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,47.4598563328,29.9809644151,4.23994864888,49,0.95,38.9393605213,55.9803521443,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.07380518422,1.38987636678,0.196558200793,49,0.95,-0.321193308747,0.468803677187,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0.5,0,SERVICE_VARIABILITY_SCV050_ICV000,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,-0.00853871742385,0.335017163989,0.0473785816941,49,0.95,-0.103749541967,0.0866721071188,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
