schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,system_time_max_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,71.4704131404,9.97925848275,1.41128026887,0.95,68.6343392594,74.3064870214,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,50.98,8.76330475358,1.23931844337,0.95,48.4894963453,53.4705036547,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,46.2575109485,7.45154881754,1.05380813984,0.95,44.139804206,48.375217691,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,5.5888804859,4.2656390725,0.603252462852,0.95,4.37659927481,6.80116169699,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.17602484223,1.30077676803,0.183957614697,0.95,0.806348175051,1.54570150941,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701526,2.49509732493,0.352860047636,0.95,1.60977820136,3.02797582916,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.1348394513,3.62113434915,0.512105730774,0.95,3.10572445594,5.16395444666,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,8.38,5.08655691254,0.719347777149,0.95,6.93441652016,9.82558347984,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,10.12,5.24750669658,0.742109513894,0.95,8.62867509764,11.6113249024,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,1,SERVICE_VARIABILITY_SCV000_ICV100,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,11.76,5.98487890522,0.846389691693,0.95,10.0591162346,13.4608837654,EXPLORATORY_ASSUMPTION_SENSITIVITY_NOT_CALIBRATION
