schema_version,study_id,security_service_cv,immigration_service_cv,joint_scenario_id,security_only_scenario_id,immigration_only_scenario_id,reference_scenario_id,metric,contrast,n_pairs,interaction_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.0216210813633,0.249094071017,0.035227221354,49,0.95,-0.0924128330691,0.0491706703425,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.15324071168,1.19915994391,0.169586825614,49,0.95,-0.494038196977,0.187556773617,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-1.06,3.00618410234,0.425138632852,49,0.95,-1.91434806893,-0.205651931075,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.04,2.76243016349,0.390666620232,49,0.95,-0.825073965991,0.745073965991,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,8.881784197e-18,2.05377480815e-16,2.90447618775e-17,49,0.95,-4.94858500404e-17,6.72494184344e-17,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.000743105841933,0.31462670758,0.0444949356945,49,0.95,-0.0886728151073,0.0901590267912,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.000743105841933,0.31462670758,0.0444949356945,49,0.95,-0.0886728151073,0.0901590267912,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-8.16380307338,3.08203968759,0.435866232596,49,0.95,-9.03970906111,-7.28789708565,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_p99_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-17.402167894,6.89217637268,0.974700930051,49,0.95,-19.3609027466,-15.4434330413,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,system_time_max_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-31.0735555585,11.1138498879,1.57173572417,49,0.95,-34.2320767491,-27.9150343679,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cutoff_backlog,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0.26,2.6014909383,0.367906376733,49,0.95,-0.479335544265,0.999335544265,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,0.5,SERVICE_VARIABILITY_SCV100_ICV050,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,cohort_clear_time_after_cutoff_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-9.13705324356,9.77787029875,1.38279967876,49,0.95,-11.9158932359,-6.35821325121,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,1,SERVICE_VARIABILITY_SCV100_ICV100,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.0334200382,2.05673649937,0.290866465164,49,0.95,-0.617938083905,0.551098007505,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,1,SERVICE_VARIABILITY_SCV100_ICV100,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.0160743746845,0.465861303031,0.0658827372932,49,0.95,-0.148470692103,0.116321942734,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,1,SERVICE_VARIABILITY_SCV100_ICV100,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,1,1,SERVICE_VARIABILITY_SCV100_ICV100,SERVICE_VARIABILITY_SCV100_ICV000,SERVICE_VARIABILITY_SCV000_ICV100,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,JOINT_MINUS_SECURITY_ONLY_MINUS_IMMIGRATION_ONLY_PLUS_REFERENCE,50,-0.08663149552,2.26793258636,0.320734102218,49,0.95,-0.73117080504,0.557907814,PASS,DESCRIPTIVE_FACTORIAL_INTERACTION
