schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,metric,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_nominal_offered_load,50,1.03260697801,0,0,0.95,1.03260697801,1.03260697801
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_arrival_window_utilization,50,0.963813312076,0.00789962179282,0.0011171752277,0.95,0.961568264402,0.966058359749
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_arrival_window_utilization,50,0.808319689762,0.00637917613947,0.00090215174132,0.95,0.806506747962,0.810132631561
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_15_rate,50,0.615820808352,0.154909896144,0.0219075676073,0.95,0.571795902982,0.659845713721
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_30_rate,50,0.316542481477,0.176871999128,0.0250134779971,0.95,0.2662760155,0.366808947455
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_60_rate,50,0.014446617717,0.0383011407433,0.00541659926935,0.95,0.00356155395583,0.0253316814781
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_nominal_offered_load,50,0.572580221824,0,0,0.95,0.572580221824,0.572580221824
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_nominal_offered_load,50,0.511743573259,0,0,0.95,0.511743573259,0.511743573259
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_arrival_window_utilization,50,0.555945011188,0.0363530817367,0.00514110212261,0.95,0.545613579671,0.566276442705
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_arrival_window_utilization,50,0.466642330752,0.0305720128598,0.00432353552153,0.95,0.457953860831,0.475330800673
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_15_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_IMMIGRATION_PLUS_3,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_nominal_offered_load,50,0.744116343797,3.89144086681e-17,5.50332845101e-18,0.95,0.744116343797,0.744116343797
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_nominal_offered_load,50,0.844512993364,0,0,0.95,0.844512993364,0.844512993364
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_arrival_window_utilization,50,0.721899797036,0.0347272504814,0.00491117486147,0.95,0.712030421649,0.731769172423
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_arrival_window_utilization,50,0.766263296759,0.0366668962052,0.00518548219036,0.95,0.755842680157,0.776683913362
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_15_rate,50,0.0047032967033,0.0332573299283,0.0047032967033,0.95,-0.00474833188452,0.0141549252911
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_SECURITY_PLUS_4,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
