schema_version,study_id,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,interstage_buffer_capacity,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,input_draws_sha256,normalized_event_payload_sha256,arrivals,completed_after_drain,rejected_or_dropped_count,conservation_pass,run_status,interstage_buffer_peak_occupancy,system_time_p95_seconds,security_blocked_resource_fraction,security_blocked_resource_seconds,security_busy_seconds,last_exit_seconds,security_blocked_share_of_occupied,interstage_buffer_full_time_fraction,time_weighted_mean_interstage_buffer_occupancy,interstage_block_time_mean_seconds,interstage_block_time_p95_seconds,total_wait_including_interstage_mean_seconds,total_wait_including_interstage_p95_seconds,cohort_clear_time_after_cutoff_seconds
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,24,30,21,25,202607290000,202609290241,202609290242,202609290243,202609290244,66f5f2028f433422e88c253b8a0edb196a2d079c1e1557a0df63670d8716ce12,456453418b8833139303ad8fcdc9010dec900ab683baa6967e377fe7989051f4,412,412,0,True,COMPLETE,3,42.299931565,0,0,8989.09090902,343.244347906,0,0,0.122209955,0,0,2.196329332,7.481749747,43.244347906
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,25,30,21,25,202607290000,202609290251,202609290252,202609290253,202609290254,024a59b70dba379a9ff49f76d780488d576d3e793221feb47812b1c97a5c8de5,007f908924f2261ce644e2d0174711f1c6ab91862d67b130586dad7c62aea876,424,424,0,True,COMPLETE,1,51.897166425,0,0,9250.90909083,347.340641649,0,0,0.045481911,0,0,8.014356686,17.078984607,47.340641649
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,26,30,21,25,202607290000,202609290261,202609290262,202609290263,202609290264,d4868d98ad8429fda4f8019f736954e52ea7e14f7c0a7995934c0a195358df7c,5ea3b1143ccea218e8802b266cccb855ff95ecc97c2e6f8e21eaf4694304d863,419,419,0,True,COMPLETE,4,48.565743456,0,0,9141.81818174,344.821364385,0,0,0.205477719,0,0,7.279221941,13.747561638,44.821364385
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,27,30,21,25,202607290000,202609290271,202609290272,202609290273,202609290274,5a446675b5eabb5e9801c5cb48a56e2edc440bdd55794e800b4004c3a831785e,5da64f60936ec951af2104c8f3d0e9a3c31298e6dfcf74a0fbf0951c03978982,410,410,0,True,COMPLETE,3,43.185153994,0,0,8945.45454538,343.512356311,0,0,0.063480738,0,0,2.598750216,8.366972176,43.512356311
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,28,30,21,25,202607290000,202609290281,202609290282,202609290283,202609290284,0f3e1190ac4f1693916db3ba9929255341722bae891e07cdf71baa4c601d838c,c006b781a8ab47bbd82abd4392303784d420b2108d78c11edb93c4c41c846957,392,392,0,True,COMPLETE,5,41.696750326,0,0,8552.72727266,340.839365517,0,0,0.075382041,0,0,1.709103038,6.878568508,40.839365517
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,29,30,21,25,202607290000,202609290291,202609290292,202609290293,202609290294,4f539bb4dc4ef85cd6680029b58c0bcee550f12c95a0df5922e50b2aab3e2e2b,9f8b2dac505b82dbf5a453a94e1863e27199fcc3ce9520e61def69e8a0205bfb,424,424,0,True,COMPLETE,6,49.01987168,0,0,9250.90909083,346.059949983,0,0,0.208795423,0,0,5.893331251,14.201689862,46.059949983
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,30,30,21,25,202607290000,202609290301,202609290302,202609290303,202609290304,7a068d5d9301e48725db05a531ec1b934cee9bb136cf57d44743de327af49e95,ebe6ab3633e8ab4bea3305fa1f067d3a50ed548bd43b2f349e29b73e60e32b0b,408,408,0,True,COMPLETE,3,44.82126489,0,0,8901.81818174,346.946076603,0,0,0.031062998,0,0,2.585008672,10.003083072,46.946076603
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,31,30,21,25,202607290000,202609290311,202609290312,202609290313,202609290314,fe79fd3f1857eadd12059b816ae5dc78c5400c580deb55ff1ade6616157c5322,e69803f0da91359096699b5ebb9a7048de2aa29218489e02d000a3dbc95e9d8d,425,425,0,True,COMPLETE,1,49.680363794,0,0,9272.72727265,347.155472148,0,0,5.898e-05,0,0,5.026639677,14.862181976,47.155472148
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,32,30,21,25,202607290000,202609290321,202609290322,202609290323,202609290324,a107a39217451ab24221e19dee1c92d58883e07cc0f49dfe3e038c20225d5cc4,f484f46e26f265dcebf85e8e7122f383d7030321dbd52ca25e1db83f7bf4257e,395,395,0,True,COMPLETE,5,40.925121381,0,0,8618.18181811,341.049557503,0,0,0.183628129,0,0,1.622578639,6.106939563,41.049557503
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,33,30,21,25,202607290000,202609290331,202609290332,202609290333,202609290334,13f6ae62d1d578037e3c74454e4ba06f754623501488a41e226a82d60d228b73,807cb2fa6993937636344f0ff61bc28755a9c92f9a796fc3d78bd43e4b6c26b1,428,428,0,True,COMPLETE,1,50.334377029,0,0,9338.1818181,344.316397021,0,0,0.0411047,0,0,7.629088316,15.516195211,44.316397021
