replication_id,traveller_id,arrival_seconds,security_service_demand_seconds,immigration_primary_service_demand_seconds,additional_check_flag,additional_check_service_demand_seconds,lane_tie_u,security_queue_join_seconds,security_start_seconds,security_end_seconds,immigration_queue_join_seconds,immigration_start_seconds,exit_seconds
1,LOCAL_WINDOW_HPP_BASE_R001_T00043,26.143167166,21.818181818,13.000000000,false,,0.927899144,26.143167166,26.143167166,47.961348984,47.961348984,48.577523192,61.577523192
1,LOCAL_WINDOW_HPP_BASE_R001_T00044,26.412691167,21.818181818,13.000000000,false,,0.270349710,26.412691167,26.412691167,48.230872985,48.230872985,48.691216647,61.691216647
1,LOCAL_WINDOW_HPP_BASE_R001_T00045,26.496070758,21.818181818,13.000000000,false,,0.016909748,26.496070758,26.496070758,48.314252576,48.314252576,49.276855986,62.276855986
1,LOCAL_WINDOW_HPP_BASE_R001_T00046,26.769413931,21.818181818,13.000000000,false,,0.090794534,26.769413931,26.769413931,48.587595749,48.587595749,50.113161057,63.113161057
1,LOCAL_WINDOW_HPP_BASE_R001_T00047,27.729528655,21.818181818,13.000000000,false,,0.600370332,27.729528655,27.729528655,49.547710473,49.547710473,50.536637905,63.536637905
1,LOCAL_WINDOW_HPP_BASE_R001_T00048,27.838644596,21.818181818,13.000000000,false,,0.742243054,27.838644596,27.838644596,49.656826414,49.656826414,50.830127920,63.830127920
1,LOCAL_WINDOW_HPP_BASE_R001_T00049,29.746699137,21.818181818,13.000000000,false,,0.713081100,29.746699137,29.746699137,51.564880955,51.564880955,51.604173419,64.604173419
1,LOCAL_WINDOW_HPP_BASE_R001_T00050,30.195655536,21.818181818,13.000000000,false,,0.024159475,30.195655536,30.195655536,52.013837354,52.013837354,52.013837354,65.013837354
1,LOCAL_WINDOW_HPP_BASE_R001_T00051,30.560712607,21.818181818,13.000000000,false,,0.097977733,30.560712607,30.560712607,52.378894425,52.378894425,52.378894425,65.378894425
1,LOCAL_WINDOW_HPP_BASE_R001_T00052,31.385499308,21.818181818,13.000000000,false,,0.365364311,31.385499308,31.385499308,53.203681126,53.203681126,53.203681126,66.203681126
1,LOCAL_WINDOW_HPP_BASE_R001_T00053,33.007939039,21.818181818,13.000000000,false,,0.274164291,33.007939039,33.007939039,54.826120857,54.826120857,54.826120857,67.826120857
1,LOCAL_WINDOW_HPP_BASE_R001_T00054,34.268178623,21.818181818,13.000000000,false,,0.466131409,34.268178623,34.268178623,56.086360441,56.086360441,56.086360441,69.086360441
1,LOCAL_WINDOW_HPP_BASE_R001_T00055,34.831588453,21.818181818,13.000000000,false,,0.793452613,34.831588453,34.831588453,56.649770271,56.649770271,56.649770271,69.649770271
1,LOCAL_WINDOW_HPP_BASE_R001_T00056,35.074787075,21.818181818,13.000000000,false,,0.153219057,35.074787075,35.074787075,56.892968893,56.892968893,56.892968893,69.892968893
1,LOCAL_WINDOW_HPP_BASE_R001_T00057,37.711755766,21.818181818,13.000000000,false,,0.560482461,37.711755766,37.711755766,59.529937584,59.529937584,59.529937584,72.529937584
1,LOCAL_WINDOW_HPP_BASE_R001_T00058,38.662422202,21.818181818,13.000000000,false,,0.021710955,38.662422202,38.662422202,60.480604020,60.480604020,60.480604020,73.480604020
1,LOCAL_WINDOW_HPP_BASE_R001_T00059,39.767645922,21.818181818,13.000000000,false,,0.095071688,39.767645922,39.767645922,61.585827740,61.585827740,61.585827740,74.585827740
1,LOCAL_WINDOW_HPP_BASE_R001_T00060,39.767819172,21.818181818,13.000000000,false,,0.963242720,39.767819172,39.767819172,61.586000990,61.586000990,61.586000990,74.586000990
1,LOCAL_WINDOW_HPP_BASE_R001_T00061,40.930280695,21.818181818,13.000000000,false,,0.604920386,40.930280695,40.930280695,62.748462513,62.748462513,62.748462513,75.748462513
1,LOCAL_WINDOW_HPP_BASE_R001_T00062,41.023705082,21.818181818,13.000000000,false,,0.631730381,41.023705082,41.023705082,62.841886900,62.841886900,62.841886900,75.841886900
1,LOCAL_WINDOW_HPP_BASE_R001_T00063,41.567772509,21.818181818,13.000000000,false,,0.595958690,41.567772509,41.567772509,63.385954327,63.385954327,63.385954327,76.385954327
1,LOCAL_WINDOW_HPP_BASE_R001_T00064,43.263750962,21.818181818,13.000000000,false,,0.572954588,43.263750962,43.263750962,65.081932780,65.081932780,65.081932780,78.081932780
1,LOCAL_WINDOW_HPP_BASE_R001_T00065,43.303901653,21.818181818,13.000000000,false,,0.250896842,43.303901653,43.303901653,65.122083471,65.122083471,65.122083471,78.122083471
1,LOCAL_WINDOW_HPP_BASE_R001_T00066,43.444846812,21.818181818,13.000000000,false,,0.956758887,43.444846812,43.444846812,65.263028630,65.263028630,65.263028630,78.263028630
1,LOCAL_WINDOW_HPP_BASE_R001_T00067,43.626436431,21.818181818,13.000000000,false,,0.868948153,43.626436431,43.626436431,65.444618249,65.444618249,65.444618249,78.444618249
1,LOCAL_WINDOW_HPP_BASE_R001_T00068,46.555186567,21.818181818,13.000000000,false,,0.179299977,46.555186567,46.555186567,68.373368385,68.373368385,68.373368385,81.373368385
1,LOCAL_WINDOW_HPP_BASE_R001_T00069,46.719400369,21.818181818,13.000000000,false,,0.586915559,46.719400369,46.719400369,68.537582187,68.537582187,68.537582187,81.537582187
1,LOCAL_WINDOW_HPP_BASE_R001_T00070,47.965469774,21.818181818,13.000000000,false,,0.642463179,47.965469774,47.965469774,69.783651592,69.783651592,69.783651592,82.783651592
1,LOCAL_WINDOW_HPP_BASE_R001_T00071,48.842058378,21.818181818,13.000000000,false,,0.340147243,48.842058378,48.842058378,70.660240196,70.660240196,70.660240196,83.660240196
1,LOCAL_WINDOW_HPP_BASE_R001_T00072,50.201711940,21.818181818,13.000000000,false,,0.628584323,50.201711940,50.201711940,72.019893758,72.019893758,72.019893758,85.019893758
1,LOCAL_WINDOW_HPP_BASE_R001_T00073,50.313688274,21.818181818,13.000000000,false,,0.408193476,50.313688274,50.313688274,72.131870092,72.131870092,72.131870092,85.131870092
