schema_version,config_id,config_sha256,model_version,scenario_id,scenario_family,reference_scenario_id,input_sample_id,replication_id,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,start_state,arrival_mode,arrival_cutoff_seconds,drain_end_seconds,drain_rule,engine_name,engine_version,calibration_status,claim_ceiling,crn_alignment_status,run_status
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,1,2026072800,2027272901,2027272902,2027272903,2027272904,EMPTY_AND_IDLE,HPP,300.000000000,326.182664179,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,2,2026072800,2027273001,2027273002,2027273003,2027273004,EMPTY_AND_IDLE,HPP,300.000000000,325.820211135,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,3,2026072800,2027273101,2027273102,2027273103,2027273104,EMPTY_AND_IDLE,HPP,300.000000000,326.798277437,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,4,2026072800,2027273201,2027273202,2027273203,2027273204,EMPTY_AND_IDLE,HPP,300.000000000,328.119122486,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,5,2026072800,2027273301,2027273302,2027273303,2027273304,EMPTY_AND_IDLE,HPP,300.000000000,326.682540029,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,2026072800,2027273401,2027273402,2027273403,2027273404,EMPTY_AND_IDLE,HPP,300.000000000,326.963027200,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,2026072800,2027273501,2027273502,2027273503,2027273504,EMPTY_AND_IDLE,HPP,300.000000000,326.685439514,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,2026072800,2027273601,2027273602,2027273603,2027273604,EMPTY_AND_IDLE,HPP,300.000000000,326.444787181,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,2026072800,2027273701,2027273702,2027273703,2027273704,EMPTY_AND_IDLE,HPP,300.000000000,327.016455719,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U100_M40,0a870280a38567d7537d91950591688601802dd3037092b8a2ac7a999aacc8b7,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U100_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,2026072800,2027273801,2027273802,2027273803,2027273804,EMPTY_AND_IDLE,HPP,300.000000000,326.729467069,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,1,2026072800,2027172901,2027172902,2027172903,2027172904,EMPTY_AND_IDLE,HPP,300.000000000,332.702811723,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,2,2026072800,2027173001,2027173002,2027173003,2027173004,EMPTY_AND_IDLE,HPP,300.000000000,333.369225829,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,3,2026072800,2027173101,2027173102,2027173103,2027173104,EMPTY_AND_IDLE,HPP,300.000000000,333.555628672,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,4,2026072800,2027173201,2027173202,2027173203,2027173204,EMPTY_AND_IDLE,HPP,300.000000000,334.804317597,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,5,2026072800,2027173301,2027173302,2027173303,2027173304,EMPTY_AND_IDLE,HPP,300.000000000,332.574763475,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,2026072800,2027173401,2027173402,2027173403,2027173404,EMPTY_AND_IDLE,HPP,300.000000000,333.047537237,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,2026072800,2027173501,2027173502,2027173503,2027173504,EMPTY_AND_IDLE,HPP,300.000000000,333.715788344,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,2026072800,2027173601,2027173602,2027173603,2027173604,EMPTY_AND_IDLE,HPP,300.000000000,337.830569568,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_ICA_ROLLOUT_U50_M40,b4f10b827d98f4ed0815a002ed3e1091b5f908f911cfbcfb145ed87c23a9273f,TASK3_OPERATIONAL_POOLED_V1,AUTO_ICA_ROLLOUT_U50_M40,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,2026072800,2027173701,2027173702,2027173703,2027173704,EMPTY_AND_IDLE,HPP,300.000000000,334.337979074,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
