schema_version,study_id,security_higher_capacity,security_lower_capacity,immigration_higher_capacity,immigration_lower_capacity,metric,contrast,n_pairs,mean_interaction,standard_deviation,standard_error,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,total_queue_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,total_queue_wait_mean_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.00022120168,0.00117257739776,0.000165827485885,0.95,-0.000554444489269,0.000112041129269,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,peak_total_waiting_queue,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0.04,0.856189946501,0.121083543431,0.95,-0.203326490503,0.283326490503,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,time_weighted_mean_total_waiting_queue,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,-0.000291836662468,0.00154578111527,0.000218606461768,0.95,-0.000731142794712,0.000147469469777,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,cutoff_backlog,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,cohort_clear_time_after_cutoff_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,security_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,18,17,immigration_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0.13092648282,0.276815823567,0.0391476691968,0.95,0.0522562962108,0.209596669429,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,17,16,total_queue_wait_p95_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,35,17,16,total_queue_wait_mean_seconds,JOINT_REDUCTION_MINUS_SUM_OF_LOCAL_MAIN_EFFECTS,50,0,0,0,0.95,0,0,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
