schema_version,study_id,security_capacity,immigration_capacity,contrast,n_pairs,security_minus_immigration_p95_mean_seconds,standard_error,ci_level,ci_low,ci_high,bottleneck_classification
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-5.29366144538,0.675951995286,0.95,-6.65203783659,-3.93528505417,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,31,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-20.479976408,1.02796782298,0.95,-22.5457550896,-18.4141977263,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,12.0846414423,0.981204718128,0.95,10.1128367382,14.0564461464,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,11.5118542765,0.985153201987,0.95,9.53211479705,13.491593756,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,10.7009927432,0.97181771028,0.95,8.74805193764,12.6539335488,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,9.65851281632,0.959911919718,0.95,7.72949759263,11.58752804,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,1.83064333586,0.74353281832,0.95,0.336458196171,3.32482847555,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,30,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-13.3431027038,0.846945645057,0.95,-15.0451036993,-11.6411017083,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,17.0832715797,1.24004175218,0.95,14.5913143815,19.5752287779,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,16.6554441312,1.23712533004,0.95,14.1693477028,19.1415405597,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,15.9232252274,1.23539047428,0.95,13.4406151221,18.4058353327,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,15.0744833572,1.22338101655,0.95,12.6160071608,17.5329595536,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,11.897222579,1.12609051889,0.95,9.63425895752,14.1601862006,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,29,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-2.79550396276,0.960416521122,0.95,-4.72553322094,-0.865474704584,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,24.1532134426,1.53451726606,0.95,21.0694855438,27.2369413414,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,23.7705876511,1.54687726875,0.95,20.6620213969,26.8791539052,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,23.1312966201,1.53854117015,0.95,20.0394823832,26.2231108569,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,22.2879802992,1.52859223197,0.95,19.2161592022,25.3598013963,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,21.3315936348,1.52203489683,0.95,18.2729499961,24.3902372735,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,28,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,11.6309617525,1.34351977874,0.95,8.93105767455,14.3308658305,SECURITY_WAIT_DOMINANT
