schema_version,study_id,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,config_id,config_sha256,model_version,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,arrivals,completed_after_drain,rejected_or_dropped_count,total_queue_wait_p95_seconds,total_queue_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_p95_seconds,cutoff_backlog,cohort_clear_time_after_cutoff_seconds,security_utilization,immigration_utilization,analysis_window_start_seconds,analysis_window_end_seconds,peak_window_end_seconds,security_positive_wait_count,immigration_positive_wait_count,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,security_queue_person_seconds,immigration_queue_person_seconds,total_queue_person_seconds,time_weighted_mean_security_waiting_queue,time_weighted_mean_immigration_waiting_queue,time_weighted_mean_total_waiting_queue
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,21,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290211,202609290212,202609290213,202609290214,417,417,0,5.966949004,1.561811642,4.499269471,3.481812779,53,36.725252561,0.750544460,0.766627555,0,300,323.725252561,115,184,12,8,13,316.468067283,306.676366498,623.144433781,1.05489355761,1.02225455499,2.0771481126
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,22,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290221,202609290222,202609290223,202609290224,410,410,0,3.265712575,0.436478857,0.927556248,2.135937816,46,34.412573287,0.743048762,0.758971235,0,300,321.412573287,29,78,7,8,8,57.749077522,115.860305755,173.609383277,0.192496925073,0.386201019183,0.578697944257
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,23,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290231,202609290232,202609290233,202609290234,439,439,0,4.291825544,1.095196189,3.407615906,2.460072360,44,34.747190250,0.794810573,0.811842228,0,300,321.74719025,107,193,8,8,8,222.316791695,258.474335395,480.79112709,0.741055972317,0.861581117983,1.6026370903
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,24,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290241,202609290242,202609290243,202609290244,412,412,0,3.664500747,0.525334534,0.884047014,2.860519587,58,38.467134862,0.737728849,0.753537324,0,300,325.467134862,39,106,8,9,9,33.963493066,132.89541469,166.858907756,0.113211643553,0.442984715633,0.556196359187
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,25,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290251,202609290252,202609290253,202609290254,424,424,0,3.302210024,0.611100461,1.872722035,2.236029802,58,38.371411118,0.759430875,0.775704394,0,300,325.371411118,75,123,9,7,9,101.703715877,128.758248567,230.461964444,0.339012386257,0.42919416189,0.768206548147
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,26,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290261,202609290262,202609290263,202609290264,419,419,0,3.967644885,0.983957764,2.721603685,2.634491925,48,34.010066237,0.760274673,0.776566273,0,300,321.010066237,96,158,10,7,10,172.699499849,232.050626207,404.750126056,0.575664999497,0.773502087357,1.34916708685
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,27,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290271,202609290272,202609290273,202609290274,410,410,0,2.352481438,0.507839670,1.212038067,1.821233174,54,36.064699825,0.739395862,0.755240059,0,300,323.064699825,62,133,5,6,6,56.789218258,124.93954144,181.728759698,0.189297394193,0.416465138133,0.605762532327
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,28,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290281,202609290282,202609290283,202609290284,392,392,0,2.721259981,0.460261441,0.924675318,2.012914607,53,33.879729785,0.711560890,0.726808623,0,300,320.879729785,28,92,8,9,9,53.538103181,114.099028721,167.637131902,0.178460343937,0.380330095737,0.558790439673
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,29,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290291,202609290292,202609290293,202609290294,424,424,0,3.836327174,0.850293704,1.355665930,3.188673153,48,33.984371011,0.769406353,0.785893632,0,300,320.984371011,67,162,8,8,8,90.624447519,233.303894786,323.928342305,0.30208149173,0.777679649287,1.07976114102
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,30,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290301,202609290302,202609290303,202609290304,408,408,0,3.421875062,0.655397129,2.158309030,2.207119989,59,37.163838330,0.733390415,0.749105924,0,300,324.16383833,66,122,8,7,8,98.225210361,122.077080749,220.30229111,0.32741736787,0.406923602497,0.734340970367
