schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,31,31,20,5,1,0.960150121028,0.886738643032,CAPACITY_RESPONSE_S31_I20,total_queue_wait_p95_seconds,50,9.48391963226,0.774218769671,0.95,7.92806876461,11.0397704999
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,32,31,19,5,2,0.960150121028,0.933409097928,CAPACITY_RESPONSE_S31_I19,total_queue_wait_p95_seconds,50,9.8707138994,0.777369353219,0.95,8.30853169707,11.4328961017
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,33,31,18,5,3,0.960150121028,0.985265158924,CAPACITY_RESPONSE_S31_I18,total_queue_wait_p95_seconds,50,12.5201251378,0.940123335762,0.95,10.6308765624,14.4093737132
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,34,31,17,5,4,0.960150121028,1.04322193298,CAPACITY_RESPONSE_S31_I17,total_queue_wait_p95_seconds,50,20.9566394717,1.39481697702,0.95,18.1536498143,23.759629129
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,35,31,16,5,5,0.960150121028,1.10842330379,CAPACITY_RESPONSE_S31_I16,total_queue_wait_p95_seconds,50,35.6126698371,1.83700388588,0.95,31.9210723175,39.3042673566
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,36,30,21,6,0,0.992155125062,0.844512993364,CAPACITY_RESPONSE_S30_I21,total_queue_wait_p95_seconds,50,12.6112887612,0.984861260784,0.95,10.6321359595,14.5904415629
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,37,30,20,6,1,0.992155125062,0.886738643032,CAPACITY_RESPONSE_S30_I20,total_queue_wait_p95_seconds,50,12.6937984062,0.985767491412,0.95,10.7128244659,14.6747723465
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,38,30,19,6,2,0.992155125062,0.933409097928,CAPACITY_RESPONSE_S30_I19,total_queue_wait_p95_seconds,50,12.8925681065,0.987937314382,0.95,10.9072337437,14.8779024693
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,39,30,18,6,3,0.992155125062,0.985265158924,CAPACITY_RESPONSE_S30_I18,total_queue_wait_p95_seconds,50,13.5561421372,0.997708503186,0.95,11.5511718354,15.5611124391
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,40,30,17,6,4,0.992155125062,1.04322193298,CAPACITY_RESPONSE_S30_I17,total_queue_wait_p95_seconds,50,21.084477703,1.39480444307,0.95,18.2815132336,23.8874421725
