schema_version,study_id,axis,fixed_security_capacity,fixed_immigration_capacity,higher_capacity,lower_capacity,higher_scenario_id,lower_scenario_id,metric,contrast,n_pairs,mean_penalty,standard_deviation,standard_error,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,30,29,CAPACITY_RESPONSE_S30_I21,CAPACITY_RESPONSE_S29_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,5.81681523516,3.43872251198,0.486308801369,0.95,4.83954111033,6.79408935999,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,30,29,CAPACITY_RESPONSE_S30_I21,CAPACITY_RESPONSE_S29_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,4.8848994665,2.48349994253,0.351219930088,0.95,4.17909659221,5.59070234079,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,30,29,CAPACITY_RESPONSE_S30_I21,CAPACITY_RESPONSE_S29_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.11373067088,0.312803504539,0.0442370958477,0.95,-0.202628443258,-0.024832898502,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,6.97533792496,2.69816879949,0.381578690981,0.95,6.20852683655,7.74214901337,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,3.79903438046,1.44432009356,0.204257706473,0.95,3.38856315154,4.20950560938,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,8.44,3.39363149058,0.479931967968,0.95,7.47554060166,9.40445939834,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,4.53684077021,1.72608279856,0.24410497035,0.95,4.04629346653,5.02738807388,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,8.8,3.52831115292,0.498978548474,0.95,7.79726506513,9.80273493487,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,8.17286377244,3.465246478,0.490059856616,0.95,7.18805161987,9.15767592501,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,29,28,CAPACITY_RESPONSE_S29_I21,CAPACITY_RESPONSE_S28_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,6.97863121378,2.68296074237,0.379427946918,0.95,6.21614220738,7.74112022018,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
