schema_version,study_id,security_capacity,immigration_capacity,scenario_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,43.5383236347,7.96943207749,1.12704789284,0.95,41.2734360982,45.8032111712,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701546,2.49509732502,0.352860047649,0.95,1.60977820153,3.02797582939,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,CAPACITY_RESPONSE_S36_I18,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,11.1840953848,5.96953278019,0.844219421878,0.95,9.48757293987,12.8806178297,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,20.9267303561,9.8332808811,1.39063591847,0.95,18.1321428505,23.7213178617,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,9.9618495672,5.88853127165,0.832764078683,0.95,8.28834749631,11.6353516381,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,30.88,13.0206116036,1.84139255201,0.95,27.1795831256,34.5804168744,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,11.1883496365,7.0386855396,0.995420455139,0.95,9.18797733927,13.1887219336,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.6,15.9207219609,2.25153009198,0.95,66.0753808815,75.1246191185,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,53.686145454,11.8843898098,1.68070652496,0.95,50.3086392405,57.0636516674,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701546,2.49509732502,0.352860047649,0.95,1.60977820153,3.02797582939,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,CAPACITY_RESPONSE_S36_I17,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,20.1398182399,9.47825802338,1.34042810443,0.95,17.4461271141,22.8335093658,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,35.6092292366,12.9909422968,1.83719667842,0.95,31.917244286,39.3012141873,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,17.8150163813,7.59116908408,1.0735534273,0.95,15.6576299981,19.9724027645,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,48.3,16.2270245742,2.29484782297,0.95,43.688330642,52.911669358,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,18.7779851589,8.57625531064,1.21286565747,0.95,16.3406403677,21.2153299501,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,87.1,18.153821209,2.56733801627,0.95,81.9407410972,92.2592589028,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.4205768616,14.6152549934,2.06690918293,0.95,66.2669673502,74.574186373,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,2.31887701546,2.49509732502,0.352860047649,0.95,1.60977820153,3.02797582939,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,CAPACITY_RESPONSE_S36_I16,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,35.0660784804,12.6729454741,1.79222513647,0.95,31.4644672268,38.6676897341,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,4.2198053318,2.94068500055,0.415875661045,0.95,3.38407190164,5.05553876196,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.92233623108,1.06166159272,0.150141622308,0.95,0.620615344827,1.22405711733,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,10.04,5.26428086838,0.744481740021,0.95,8.54390793076,11.5360920692,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,time_weighted_mean_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.24570527814,1.59797346598,0.22598757479,0.95,0.791566243942,1.69984431233,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,50.86,8.02295176989,1.13461672032,0.95,48.5799023352,53.1400976648,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,CAPACITY_RESPONSE_S35_I21,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,35.4708748593,2.42149220828,0.342450712214,0.95,34.7826943881,36.1590553305,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
