schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status,analysis_window_start_seconds,analysis_window_end_seconds,peak_window_end_seconds,security_positive_wait_count,immigration_positive_wait_count,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,security_queue_person_seconds,immigration_queue_person_seconds,total_queue_person_seconds,time_weighted_mean_security_waiting_queue,time_weighted_mean_immigration_waiting_queue,time_weighted_mean_total_waiting_queue
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,21,300.000000000,334.383882730,272,248,0,14,0,10,24,272,0,0,0,0.000000000,0.000000000,0.004148657,0.000000000,0.004148657,0.000000000,0.000000000,0.000000000,0.000000000,34.822330475,34.818181818,0.492991718,0.503555826,24,0.088235294,34.383882730,true,COMPLETE,0,300,321.38388273,0,3,0,1,1,0,1.128434687,1.128434687,0,0.00376144895667,0.00376144895667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,22,300.000000000,334.375348407,312,265,0,34,0,13,47,312,0,0,0,0.000000000,0.000000000,0.083946701,0.569649471,0.083946701,0.569649471,0.000000000,0.000000000,0.000000000,34.902128519,35.387831289,0.565504933,0.577622896,47,0.150641026,34.375348407,true,COMPLETE,0,300,321.375348407,0,24,0,4,4,0,15.731769316,15.731769316,0,0.0524392310533,0.0524392310533
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,23,300.000000000,333.884950245,296,268,0,19,0,9,28,296,0,0,0,0.000000000,0.000000000,0.001057158,0.000000000,0.001057158,0.000000000,0.000000000,0.000000000,0.000000000,34.819238976,34.818181818,0.537292679,0.548806094,28,0.094594595,33.884950245,true,COMPLETE,0,300,320.884950245,0,2,0,1,1,0,0.312918683,0.312918683,0,0.00104306227667,0.00104306227667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,24,300.000000000,334.544159448,299,253,0,30,0,16,46,299,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.541668764,0.553275951,46,0.153846154,34.544159448,true,COMPLETE,0,300,321.544159448,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,25,300.000000000,333.803665910,291,256,0,24,0,11,35,291,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.528345415,0.539667102,35,0.120274914,33.803665910,true,COMPLETE,0,300,320.80366591,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,26,300.000000000,334.692628558,273,240,0,20,0,13,33,273,0,0,0,0.000000000,0.000000000,0.002945248,0.000000000,0.002945248,0.000000000,0.000000000,0.000000000,0.000000000,34.821127066,34.818181818,0.494347743,0.504940909,33,0.120879121,34.692628558,true,COMPLETE,0,300,321.692628558,0,1,0,1,1,0,0.804052721,0.804052721,0,0.00268017573667,0.00268017573667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,27,300.000000000,332.497741530,272,244,0,18,0,10,28,272,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.495788284,0.506412319,28,0.102941176,32.497741530,true,COMPLETE,0,300,319.49774153,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,28,300.000000000,334.557393197,258,233,0,16,0,9,25,258,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.467374626,0.477389796,25,0.096899225,34.557393197,true,COMPLETE,0,300,321.557393197,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,29,300.000000000,334.055309304,300,264,0,20,0,16,36,300,0,0,0,0.009986572,0.000000000,0.073013585,0.522597260,0.083000157,0.634141485,0.000000000,0.000000000,0.000000000,34.901181975,35.452323303,0.544275684,0.555938734,36,0.120000000,34.055309304,true,COMPLETE,0,300,321.055309304,4,19,1,5,5,2.995971717,21.904075378,24.900047095,0.00998657239,0.0730135845933,0.0830001569833
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,30,300.000000000,333.547081962,267,232,0,27,0,8,35,267,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.485143449,0.495539380,35,0.131086142,33.547081962,true,COMPLETE,0,300,320.547081962,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,31,300.000000000,332.500307393,296,270,0,17,0,9,26,296,0,0,0,0.000000000,0.000000000,0.000006871,0.000000000,0.000006871,0.000000000,0.000000000,0.000000000,0.000000000,34.818188689,34.818181818,0.539530146,0.551091506,26,0.087837838,32.500307393,true,COMPLETE,0,300,319.500307393,0,1,0,1,1,0,0.002033934,0.002033934,0,6.77977999999e-06,6.77977999999e-06
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,32,300.000000000,333.258766840,288,245,0,29,0,14,43,288,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.523753527,0.534976817,43,0.149305556,33.258766840,true,COMPLETE,0,300,320.25876684,0,0,0,0,0,0,0,0,0,0,0
