schema_version,study_id,scenario_id,input_sample_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,51.6713585174,12.9105738167,1.82583085896,0.95,48.0022140361,55.3405029988,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,cutoff_backlog,MEAN_OF_REPLICATION_LEVEL_METRIC,50,143.74,23.3052591069,3.29586135036,0.95,137.116718645,150.363281355,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,88.7035066201,14.3590191555,2.0306719632,0.95,84.6227185281,92.784294712,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.88941728248,0.00540280882676,0.000764072551772,0.95,0.887881821201,0.890952743759,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.90847622432,0.00551858327851,0.000780445531755,0.95,0.906907860305,0.910044588335,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1,1.71428571429,0.242436610693,0.95,0.512805390579,1.48719460942,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.04,1.38446187881,0.19579247656,0.95,0.646540287489,1.43345971251,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,peak_total_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,1.4,1.7261494248,0.244114392723,0.95,0.909433761356,1.89056623864,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_security_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.0156195398483,0.0479101198593,0.00677551412799,0.95,0.0020036344379,0.0292354452588,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,LOCAL_WINDOW_HPP_EXACT95_LOW,time_weighted_mean_immigration_waiting_queue,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.00619573591673,0.0139875561634,0.00197813916307,0.95,0.00222051643903,0.0101709553944,COMPLETE
