schema_version,study_id,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.00567003572,0.00113550727634,49,0.95,-0.00795192302412,-0.00338814841588,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,50.5,0.337154963463,49,0.95,49.8224617343,51.1775382657,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-11.82,0.321590435435,49,0.95,-12.4662601755,-11.1737398245,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,peak_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,41.72,0.282900429588,49,0.95,41.1514903021,42.2885096979,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_security_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,25.2816434201,0.237189080472,49,0.95,24.8049941175,25.7582927227,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_immigration_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-4.75306832125,0.132298222449,49,0.95,-5.018931553,-4.4872050895,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,time_weighted_mean_total_waiting_queue,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,20.5285750989,0.143363781708,49,0.95,20.2404747932,20.8166754045,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,32.1912548161,0.292356621065,49,0.95,31.60374219,32.7787674422,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cutoff_backlog,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,37.9,0.313310174278,49,0.95,37.2703796322,38.5296203678,COMPLETE
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CAPACITY_AVAIL_SECURITY_MINUS_4,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,cohort_clear_time_after_cutoff_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,33.932130839,0.29824109602,49,0.95,33.3327929177,34.5314687603,COMPLETE
