schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,21,300.000000000,354.162995222,417,344,3,36,16,18,73,417,0,0,0,0.767110510,4.499269471,5.899799894,16.264737752,6.666910403,17.093491796,0.000000000,0.000000000,0.000000000,41.485092221,51.911673614,0.713590285,0.850361756,73,0.175059952,54.162995222,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,22,300.000000000,335.352518491,410,359,0,26,7,18,51,410,0,0,0,0.140851409,0.927556248,2.694259357,7.190281487,2.835110765,7.530112812,0.000000000,0.000000000,0.000000000,37.653292583,42.348294630,0.740966102,0.882984605,51,0.124390244,35.352518491,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,23,300.000000000,351.331844884,439,368,0,23,30,18,71,439,0,0,0,0.506416382,3.407615906,12.445214275,20.878763762,12.951630657,20.960438135,0.000000000,0.000000000,0.000000000,47.769812475,55.778619953,0.757291461,0.902438991,71,0.161731207,51.331844884,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,24,300.000000000,343.933393179,412,352,2,36,4,18,60,412,0,0,0,0.086121886,0.884047014,2.341575289,6.817431501,2.427697175,6.929979927,0.000000000,0.000000000,0.000000000,37.245878993,41.748161745,0.726003856,0.865154595,60,0.145631068,43.933393179,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,25,300.000000000,344.731841048,424,357,3,36,10,18,67,424,0,0,0,0.246661377,1.872722035,7.407134679,15.789408937,7.653796057,15.986037572,0.000000000,0.000000000,0.000000000,42.471977875,50.804219390,0.745419095,0.888291088,67,0.158018868,44.731841048,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,26,300.000000000,344.886365373,419,358,0,26,17,18,61,419,0,0,0,0.412170644,2.721603685,6.616921265,12.250552870,7.029091909,12.444849643,0.000000000,0.000000000,0.000000000,41.847273727,47.263031461,0.736298733,0.877422657,61,0.145584726,44.886365373,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,27,300.000000000,343.057810857,410,350,0,35,7,18,60,410,0,0,0,0.138510288,1.212038067,2.689874397,7.130216691,2.828384686,8.318087662,0.000000000,0.000000000,0.000000000,37.646566504,43.136269480,0.724323541,0.863152220,60,0.146341463,43.057810857,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,28,300.000000000,341.678126683,392,332,0,30,12,18,60,392,0,0,0,0.136576794,0.924675318,1.917814950,6.725787434,2.054391744,7.428002313,0.000000000,0.000000000,0.000000000,36.872573562,42.246184131,0.695320359,0.828590094,60,0.153061224,41.678126683,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,29,300.000000000,345.964172658,424,361,0,35,10,18,63,424,0,0,0,0.213736905,1.355665930,5.849555952,13.021558302,6.063292856,13.692964289,0.000000000,0.000000000,0.000000000,40.881474674,48.511146107,0.742763897,0.885126977,63,0.148584906,45.964172658,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,30,300.000000000,347.522255445,408,343,1,36,10,18,65,408,0,0,0,0.241386823,2.158309030,2.542692464,8.363636364,2.784079287,9.857457750,0.000000000,0.000000000,0.000000000,37.602261105,44.675639568,0.711530624,0.847907327,65,0.159313725,47.522255445,true,COMPLETE
