schema_version,study_id,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,arrival_cutoff_seconds,config_id,config_sha256,model_version,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,arrival_guard,security_queue_capacity,immigration_queue_capacity,arrivals,completed_after_drain,rejected_or_dropped_count,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,arrival_window_time_weighted_mean_security_waiting_queue,arrival_window_time_weighted_mean_immigration_waiting_queue,arrival_window_time_weighted_mean_total_waiting_queue,arrival_window_peak_security_waiting_queue,arrival_window_peak_immigration_waiting_queue,arrival_window_peak_total_waiting_queue,security_waiting_at_cutoff,immigration_waiting_at_cutoff,total_waiting_at_cutoff,cutoff_backlog,late_arrival_count,late_arrival_total_queue_wait_p95_seconds,cohort_clear_time_after_cutoff_seconds,queue_mean_window_50_60,queue_mean_window_60_70,queue_mean_window_70_80,queue_mean_window_80_90,queue_mean_window_90_100,arrival_window_queue_growth_intercept,arrival_window_queue_growth_slope_travellers_per_second,security_rho_proxy,immigration_rho_proxy,rho_regime,steady_state_claim_status
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,21,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290211,202609290212,202609290213,202609290214,5000,5000,5000,417,417,0,1.56181164173,5.966949004,1.05489355761,1.02225455499,2.0771481126,12,8,13,3,0,3,53,82,5.114463143,36.725252561,0,4.21517165633,7.18563913023,5.06269364233,1.7195343794,0.42166470306,0.014288635816,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,22,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290221,202609290222,202609290223,202609290224,5000,5000,5000,410,410,0,0.436478856949,3.265712575,0.192496925073,0.386201019183,0.578697944257,7,8,8,0,0,0,46,83,1.113699323,34.412573287,0.7085070921,1.02681439397,0,0.0425249288667,0.329513228467,1.72817982295,-0.00580759064122,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,23,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290231,202609290232,202609290233,202609290234,5000,5000,5000,439,439,0,1.09519618927,4.291825544,0.741055972317,0.861581117983,1.6026370903,8,8,8,0,0,0,44,85,2.448321436,34.74719025,1.17166356727,1.30675093293,0.672145581267,0.252476635733,1.1340707066,1.75451649866,-0.00376486672844,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,24,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290241,202609290242,202609290243,202609290244,5000,5000,5000,412,412,0,0.525334534015,3.664500747,0.113211643553,0.442984715633,0.556196359187,8,9,9,2,0,2,58,92,3.951252046,38.467134862,0.481711535933,0,0.2363390953,0.438251980267,0.5096916944,-0.03746036172,0.001647374324,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,25,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290251,202609290252,202609290253,202609290254,5000,5000,5000,424,424,0,0.611100461396,3.302210024,0.339012386257,0.42919416189,0.768206548147,9,7,9,3,0,3,58,86,4.105421195,38.371411118,1.10544484087,0.1742321002,0.393646640233,0,0.2052838344,1.85663706799,-0.00658184704378,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,26,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290261,202609290262,202609290263,202609290264,5000,5000,5000,419,419,0,0.983957763747,3.967644885,0.575664999497,0.773502087357,1.34916708685,10,7,10,0,1,1,48,81,2.059319831,34.010066237,0.5093934149,1.10437036347,0.9538384421,0.550496441433,1.0915978602,0.384038077995,0.00203511656189,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,27,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290271,202609290272,202609290273,202609290274,5000,5000,5000,410,410,0,0.507839669888,2.352481438,0.189297394193,0.416465138133,0.605762532327,5,6,6,0,0,0,54,94,2.859162185,36.064699825,0.334900133633,0.0871090147,0.0680155729333,0.117970952867,1.9587890218,-1.94562284669,0.0109287990483,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,28,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290281,202609290282,202609290283,202609290284,5000,5000,5000,392,392,0,0.460261440758,2.721259981,0.178460343937,0.380330095737,0.558790439673,8,9,9,0,2,2,53,91,3.778586613,33.879729785,0.0470722497333,1.53136085183,0.2795238414,0.934888810567,2.11813263573,-1.6770408702,0.0118188291024,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,29,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290291,202609290292,202609290293,202609290294,5000,5000,5000,424,424,0,0.850293704017,3.836327174,0.30208149173,0.777679649287,1.07976114102,8,8,8,0,0,0,48,90,5.122529191,33.984371011,1.22483010647,1.5577066498,0.126057149433,2.2255566527,1.91359562447,-0.124486542602,0.00681793679633,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
1.0,TASK3_PEAK_DURATION_SENSITIVITY_EXPLORATORY_V1,PEAK_DURATION_S36_I21_T300,LOCAL_WINDOW_HPP_BASE_STATIONARY_EXTENSION,30,36,21,300,OP_PEAK_DURATION_BASE_S36_I21_T300,6c0d5c2b33ccb2182fcc161fcb010842260acd75f037c9189d6976f3113c6562,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290301,202609290302,202609290303,202609290304,5000,5000,5000,408,408,0,0.655397129289,3.421875061,0.32741736787,0.406923602497,0.734340970367,8,7,8,1,1,2,59,100,4.087798906,37.16383833,0.0978895898333,0.351213043067,1.85482110653,0.3063574432,3.31600475317,-3.60827385794,0.0213045824227,0.826795937552,0.844512993364,RHO_LT_ONE_TERMINATING_COHORT,NOT_ESTIMATED_TERMINATING_COHORT
